Application,Product,Drug,NDA,Marketing,Sponsor,Form,Strength,Ingredient,DocumentType,DocumentDate,DocumentURL
10596,7,CELONTIN,N010596,Discontinued,PARKE DAVIS,CAPSULE (ORAL),150MG,METHSUXIMIDE,Medication Guide,2010-10-13T00:00:00Z,http://www.fda.gov/downloads/Drugs/DrugSafety/UCM229201.pdf
10596,8,CELONTIN,N010596,Prescription,PARKE DAVIS,CAPSULE (ORAL),300MG,METHSUXIMIDE,Medication Guide,2010-10-13T00:00:00Z,http://www.fda.gov/downloads/Drugs/DrugSafety/UCM229201.pdf
10669,2,LEUKERAN,N010669,Prescription,ASPEN GLOBAL INC,TABLET (ORAL),2MG,CHLORAMBUCIL,,,
11559,1,BREVITAL SODIUM,N011559,Prescription,PAR STERILE PRODUCTS,INJECTABLE (INJECTION),500MG/VIAL,METHOHEXITAL SODIUM,,,
11559,2,BREVITAL SODIUM,N011559,Discontinued,PAR STERILE PRODUCTS,INJECTABLE (INJECTION),2.5GM/VIAL,METHOHEXITAL SODIUM,,,
11559,3,BREVITAL SODIUM,N011559,Discontinued,PAR STERILE PRODUCTS,INJECTABLE (INJECTION),5GM/VIAL,METHOHEXITAL SODIUM,,,
11559,4,BREVITAL SODIUM,N011559,Discontinued,PAR STERILE PRODUCTS,INJECTABLE (INJECTION),200MG/VIAL,METHOHEXITAL SODIUM,,,
11870,1,DIURIL,N011870,Prescription,SALIX PHARMS,SUSPENSION (ORAL),250MG/5ML,CHLOROTHIAZIDE,,,
11961,1,MARPLAN,N011961,Prescription,VALIDUS PHARMS INC,TABLET (ORAL),10MG,ISOCARBOXAZID,Other Important Information from FDA,2007-05-09T00:00:00Z,http://www.fda.gov/cder/drug/antidepressants/default.htm
11963,1,PHOSPHOLINE IODIDE,N011963,Prescription,WYETH PHARMS,FOR SOLUTION (OPHTHALMIC),0.13%,ECHOTHIOPHATE IODIDE,,,
11963,2,PHOSPHOLINE IODIDE,N011963,Discontinued,WYETH PHARMS,FOR SOLUTION (OPHTHALMIC),0.03%,ECHOTHIOPHATE IODIDE,,,
11963,3,PHOSPHOLINE IODIDE,N011963,Discontinued,WYETH PHARMS,FOR SOLUTION (OPHTHALMIC),0.25%,ECHOTHIOPHATE IODIDE,,,
11963,4,PHOSPHOLINE IODIDE,N011963,Discontinued,WYETH PHARMS,FOR SOLUTION (OPHTHALMIC),0.06%,ECHOTHIOPHATE IODIDE,,,
12429,1,THIOGUANINE,N012429,Prescription,ASPEN GLOBAL INC,TABLET (ORAL),40MG,THIOGUANINE,,,
12541,2,DEPO-PROVERA,N012541,Discontinued,PFIZER,INJECTABLE (INJECTION),100MG/ML **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**,MEDROXYPROGESTERONE ACETATE,,,
12541,3,DEPO-PROVERA,N012541,Discontinued,PFIZER,INJECTABLE (INJECTION),400MG/ML,MEDROXYPROGESTERONE ACETATE,,,
12616,4,ALDACTAZIDE,N012616,Prescription,PFIZER,TABLET (ORAL),25MG;25MG,HYDROCHLOROTHIAZIDE; SPIRONOLACTONE,,,
12616,5,ALDACTAZIDE,N012616,Prescription,PFIZER,TABLET (ORAL),50MG;50MG,HYDROCHLOROTHIAZIDE; SPIRONOLACTONE,,,
13025,1,THAM-E,N013025,Discontinued,HOSPIRA,INJECTABLE (INJECTION),370MG/VIAL;1.75GM/VIAL;36GM/VIAL,TROMETHAMINE,,,
13025,2,THAM,N013025,Prescription,HOSPIRA,SOLUTION (INJECTION),18GM/500ML (3.6GM/100ML),TROMETHAMINE,,,
13026,2,TRECATOR,N013026,Prescription,WYETH PHARMS,TABLET (ORAL),250MG,ETHIONAMIDE,,,
14134,1,PROTOPAM CHLORIDE,N014134,Prescription,BAXTER HLTHCARE CORP,INJECTABLE (INJECTION),1GM/VIAL,PRALIDOXIME CHLORIDE,,,
16295,1,HYDREA,N016295,Prescription,BRISTOL MYERS SQUIBB,CAPSULE (ORAL),500MG,HYDROXYUREA,,,
16295,2,DROXIA,N016295,Prescription,BRISTOL MYERS SQUIBB,CAPSULE (ORAL),200MG,HYDROXYUREA,,,
16295,3,DROXIA,N016295,Prescription,BRISTOL MYERS SQUIBB,CAPSULE (ORAL),300MG,HYDROXYUREA,,,
16295,4,DROXIA,N016295,Prescription,BRISTOL MYERS SQUIBB,CAPSULE (ORAL),400MG,HYDROXYUREA,,,
16466,1,ARISTOSPAN,N016466,Prescription,SANDOZ INC,INJECTABLE (INJECTION),5MG/ML,TRIAMCINOLONE HEXACETONIDE,,,
16466,2,ARISTOSPAN,N016466,Prescription,SANDOZ INC,INJECTABLE (INJECTION),20MG/ML,TRIAMCINOLONE HEXACETONIDE,,,
16741,1,SORBITOL 3.3% IN PLASTIC CONTAINER,N016741,Prescription,B BRAUN,SOLUTION (IRRIGATION),3.3GM/100ML,SORBITOL,,,
16785,1,MATULANE,N016785,Prescription,LEADIANT BIOSCI INC,CAPSULE (ORAL),EQ 50MG BASE,PROCARBAZINE HYDROCHLORIDE,,,
16822,1,FREAMINE 8.5%,N016822,Discontinued,B BRAUN,INJECTABLE (INJECTION),8.5% (8.5GM/100ML),AMINO ACIDS,,,
16822,1,FREAMINE 8.5%,N016822,Discontinued,B BRAUN,INJECTABLE (INJECTION),8.5% (8.5GM/100ML),AMINO ACIDS; MAGNESIUM ACETATE; PHOSPHORIC ACID; POTASSIUM ACETATE; POTASSIUM CHLORIDE; SODIUM ACETATE,,,
16822,1,FREAMINE 8.5%,N016822,Discontinued,B BRAUN,INJECTABLE (INJECTION),8.5% (8.5GM/100ML),AMINO ACIDS; MAGNESIUM ACETATE; PHOSPHORIC ACID; POTASSIUM CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE,,,
16822,2,FREAMINE II 8.5%,N016822,Discontinued,B BRAUN,INJECTABLE (INJECTION),8.5% (8.5GM/100ML),AMINO ACIDS,,,
16822,2,FREAMINE II 8.5%,N016822,Discontinued,B BRAUN,INJECTABLE (INJECTION),8.5% (8.5GM/100ML),AMINO ACIDS; MAGNESIUM ACETATE; PHOSPHORIC ACID; POTASSIUM ACETATE; POTASSIUM CHLORIDE; SODIUM ACETATE,,,
16822,2,FREAMINE II 8.5%,N016822,Discontinued,B BRAUN,INJECTABLE (INJECTION),8.5% (8.5GM/100ML),AMINO ACIDS; MAGNESIUM ACETATE; PHOSPHORIC ACID; POTASSIUM CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE,,,
16822,3,FREAMINE III 3% W/ ELECTROLYTES,N016822,Prescription,B BRAUN,INJECTABLE (INJECTION),3%;54MG/100ML;40MG/100ML;150MG/100ML;200MG/100ML;120MG/100ML,AMINO ACIDS,,,
16822,3,FREAMINE III 3% W/ ELECTROLYTES,N016822,Prescription,B BRAUN,INJECTABLE (INJECTION),3%;54MG/100ML;40MG/100ML;150MG/100ML;200MG/100ML;120MG/100ML,AMINO ACIDS; MAGNESIUM ACETATE; PHOSPHORIC ACID; POTASSIUM ACETATE; POTASSIUM CHLORIDE; SODIUM ACETATE,,,
16822,3,FREAMINE III 3% W/ ELECTROLYTES,N016822,Prescription,B BRAUN,INJECTABLE (INJECTION),3%;54MG/100ML;40MG/100ML;150MG/100ML;200MG/100ML;120MG/100ML,AMINO ACIDS; MAGNESIUM ACETATE; PHOSPHORIC ACID; POTASSIUM CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE,,,
16822,4,FREAMINE III 8.5%,N016822,Prescription,B BRAUN,INJECTABLE (INJECTION),8.5% (8.5GM/100ML),AMINO ACIDS,,,
16822,4,FREAMINE III 8.5%,N016822,Prescription,B BRAUN,INJECTABLE (INJECTION),8.5% (8.5GM/100ML),AMINO ACIDS; MAGNESIUM ACETATE; PHOSPHORIC ACID; POTASSIUM ACETATE; POTASSIUM CHLORIDE; SODIUM ACETATE,,,
16822,4,FREAMINE III 8.5%,N016822,Prescription,B BRAUN,INJECTABLE (INJECTION),8.5% (8.5GM/100ML),AMINO ACIDS; MAGNESIUM ACETATE; PHOSPHORIC ACID; POTASSIUM CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE,,,
16822,5,FREAMINE III 10%,N016822,Prescription,B BRAUN,INJECTABLE (INJECTION),10% (10GM/100ML),AMINO ACIDS,,,
16822,5,FREAMINE III 10%,N016822,Prescription,B BRAUN,INJECTABLE (INJECTION),10% (10GM/100ML),AMINO ACIDS; MAGNESIUM ACETATE; PHOSPHORIC ACID; POTASSIUM ACETATE; POTASSIUM CHLORIDE; SODIUM ACETATE,,,
16822,5,FREAMINE III 10%,N016822,Prescription,B BRAUN,INJECTABLE (INJECTION),10% (10GM/100ML),AMINO ACIDS; MAGNESIUM ACETATE; PHOSPHORIC ACID; POTASSIUM CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE,,,
16822,6,FREAMINE HBC 6.9%,N016822,Prescription,B BRAUN,INJECTABLE (INJECTION),6.9% (6.9GM/100ML),AMINO ACIDS,,,
16822,6,FREAMINE HBC 6.9%,N016822,Prescription,B BRAUN,INJECTABLE (INJECTION),6.9% (6.9GM/100ML),AMINO ACIDS; MAGNESIUM ACETATE; PHOSPHORIC ACID; POTASSIUM ACETATE; POTASSIUM CHLORIDE; SODIUM ACETATE,,,
16822,6,FREAMINE HBC 6.9%,N016822,Prescription,B BRAUN,INJECTABLE (INJECTION),6.9% (6.9GM/100ML),AMINO ACIDS; MAGNESIUM ACETATE; PHOSPHORIC ACID; POTASSIUM CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE,,,
16822,7,FREAMINE III 8.5% W/ ELECTROLYTES,N016822,Prescription,B BRAUN,INJECTABLE (INJECTION),8.5%;110MG/100ML;230MG/100ML;10MG/100ML;440MG/100ML;690MG/100ML,AMINO ACIDS,,,
16822,7,FREAMINE III 8.5% W/ ELECTROLYTES,N016822,Prescription,B BRAUN,INJECTABLE (INJECTION),8.5%;110MG/100ML;230MG/100ML;10MG/100ML;440MG/100ML;690MG/100ML,AMINO ACIDS; MAGNESIUM ACETATE; PHOSPHORIC ACID; POTASSIUM ACETATE; POTASSIUM CHLORIDE; SODIUM ACETATE,,,
16822,7,FREAMINE III 8.5% W/ ELECTROLYTES,N016822,Prescription,B BRAUN,INJECTABLE (INJECTION),8.5%;110MG/100ML;230MG/100ML;10MG/100ML;440MG/100ML;690MG/100ML,AMINO ACIDS; MAGNESIUM ACETATE; PHOSPHORIC ACID; POTASSIUM CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE,,,
16848,1,ANADROL-50,N016848,Discontinued,MYLAN SPECIALITY LP,TABLET (ORAL),50MG,OXYMETHOLONE,,,
16885,1,LYSODREN,N016885,Prescription,HRA PHARMA,TABLET (ORAL),500MG,MITOTANE,,,
16931,1,R-GENE 10,N016931,Prescription,PHARMACIA AND UPJOHN,INJECTABLE (INJECTION),10GM/100ML,ARGININE HYDROCHLORIDE,,,
16988,1,FLUOROPLEX,N016988,Prescription,ALMIRALL,CREAM (TOPICAL),1%,FLUOROURACIL,,,
17351,1,CORTIFOAM,N017351,Prescription,MYLAN SPECIALITY LP,"AEROSOL, METERED (RECTAL)",10%,HYDROCORTISONE ACETATE,,,
17378,1,PLASMA-LYTE 148 IN WATER IN PLASTIC CONTAINER,N017378,Prescription,BAXTER HLTHCARE,INJECTABLE (INJECTION),30MG/100ML;37MG/100ML;368MG/100ML;526MG/100ML;502MG/100ML,MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE; SODIUM GLUCONATE,,,
17378,2,PLASMA-LYTE A IN PLASTIC CONTAINER,N017378,Prescription,BAXTER HLTHCARE,INJECTABLE (INJECTION),30MG/100ML;37MG/100ML;368MG/100ML;526MG/100ML;502MG/100ML,MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE; SODIUM GLUCONATE,,,
17484,1,DEXTROSE 5% AND ELECTROLYTE NO. 48 IN PLASTIC CONTAINER,N017484,Prescription,BAXTER HLTHCARE,INJECTABLE (INJECTION),5GM/100ML;31MG/100ML;141MG/100ML;20MG/100ML;12MG/100ML;260MG/100ML,"DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; POTASSIUM PHOSPHATE, MONOBASIC; SODIUM CHLORIDE; SODIUM LACTATE",,,
17586,1,NORMOSOL-R IN PLASTIC CONTAINER,N017586,Prescription,ICU MEDICAL INC,INJECTABLE (INJECTION),30MG/100ML;37MG/100ML;222MG/100ML;526MG/100ML;502MG/100ML,MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE; SODIUM GLUCONATE,,,
17588,1,GLEOSTINE,N017588,Prescription,CORDEN PHARMA,CAPSULE (ORAL),10MG,LOMUSTINE,,,
17588,2,GLEOSTINE,N017588,Prescription,CORDEN PHARMA,CAPSULE (ORAL),40MG,LOMUSTINE,,,
17588,3,GLEOSTINE,N017588,Prescription,CORDEN PHARMA,CAPSULE (ORAL),100MG,LOMUSTINE,,,
17588,4,GLEOSTINE,N017588,Discontinued,CORDEN PHARMA,CAPSULE (ORAL),5MG,LOMUSTINE,,,
17604,2,NALFON,N017604,Discontinued,XSPIRE PHARMA,CAPSULE (ORAL),EQ 300MG BASE,FENOPROFEN CALCIUM,Medication Guide,2009-11-19T00:00:00Z,http://www.fda.gov/downloads/Drugs/DrugSafety/ucm088655.pdf
17604,3,NALFON,N017604,Prescription,XSPIRE PHARMA,CAPSULE (ORAL),EQ 200MG BASE,FENOPROFEN CALCIUM,Medication Guide,2009-11-19T00:00:00Z,http://www.fda.gov/downloads/Drugs/DrugSafety/ucm088655.pdf
17604,4,NALFON,N017604,Prescription,XSPIRE PHARMA,CAPSULE (ORAL),EQ 400MG BASE,FENOPROFEN CALCIUM,Medication Guide,2009-11-19T00:00:00Z,http://www.fda.gov/downloads/Drugs/DrugSafety/ucm088655.pdf
17609,1,NORMOSOL-R AND DEXTROSE 5% IN PLASTIC CONTAINER,N017609,Prescription,ICU MEDICAL INC,INJECTABLE (INJECTION),5GM/100ML;30MG/100ML;37MG/100ML;222MG/100ML;526MG/100ML;502MG/100ML,DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE; SODIUM GLUCONATE,,,
17610,1,NORMOSOL-M AND DEXTROSE 5% IN PLASTIC CONTAINER,N017610,Prescription,ICU MEDICAL INC,INJECTABLE (INJECTION),5GM/100ML;21MG/100ML;128MG/100ML;234MG/100ML,DEXTROSE; MAGNESIUM ACETATE; POTASSIUM ACETATE; SODIUM CHLORIDE,,,
17634,1,DEXTROSE 5% AND POTASSIUM CHLORIDE 0.15% IN PLASTIC CONTAINER,N017634,Prescription,BAXTER HLTHCARE,INJECTABLE (INJECTION),5GM/100ML;150MG/100ML,DEXTROSE; POTASSIUM CHLORIDE,,,
17634,2,DEXTROSE 5% AND POTASSIUM CHLORIDE 0.3% IN PLASTIC CONTAINER,N017634,Prescription,BAXTER HLTHCARE,INJECTABLE (INJECTION),5GM/100ML;300MG/100ML,DEXTROSE; POTASSIUM CHLORIDE,,,
17634,3,DEXTROSE 5% AND POTASSIUM CHLORIDE 0.224% IN PLASTIC CONTAINER,N017634,Prescription,BAXTER HLTHCARE,INJECTABLE (INJECTION),5GM/100ML;224MG/100ML,DEXTROSE; POTASSIUM CHLORIDE,,,
17634,4,DEXTROSE 5% AND POTASSIUM CHLORIDE 0.075% IN PLASTIC CONTAINER,N017634,Prescription,BAXTER HLTHCARE,INJECTABLE (INJECTION),5GM/100ML;75MG/100ML,DEXTROSE; POTASSIUM CHLORIDE,,,
17637,2,PHYSIOSOL IN PLASTIC CONTAINER,N017637,Prescription,ICU MEDICAL INC,SOLUTION (IRRIGATION),30MG/100ML;37MG/100ML;222MG/100ML;526MG/100ML;502MG/100ML,MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE; SODIUM GLUCONATE,,,
17744,1,MOTOFEN HALF-STRENGTH,N017744,Discontinued,SEBELA IRELAND LTD,TABLET (ORAL),0.025MG;0.5MG,ATROPINE SULFATE; DIFENOXIN HYDROCHLORIDE,,,
17744,2,MOTOFEN,N017744,Prescription,SEBELA IRELAND LTD,TABLET (ORAL),0.025MG;1MG,ATROPINE SULFATE; DIFENOXIN HYDROCHLORIDE,,,
17766,1,NEPHRAMINE 5.4%,N017766,Prescription,B BRAUN,INJECTABLE (INJECTION),5.4% (5.4GM/100ML),AMINO ACIDS,,,
17810,1,PROSTIN E2,N017810,Prescription,PFIZER,SUPPOSITORY (VAGINAL),20MG,DINOPROSTONE,,,
17824,1,HALOG,N017824,Prescription,SUN PHARM INDS INC,OINTMENT (TOPICAL),0.10%,HALCINONIDE,,,
17863,1,SORBITOL 3% IN PLASTIC CONTAINER,N017863,Prescription,BAXTER HLTHCARE,SOLUTION (IRRIGATION),3GM/100ML,SORBITOL,,,
18008,1,"DEXTROSE 5%, SODIUM CHLORIDE 0.45% AND POTASSIUM CHLORIDE 20MEQ (K) IN PLASTIC CONTAINER",N018008,Discontinued,BAXTER HLTHCARE,INJECTABLE (INJECTION),5GM/100ML;300MG/100ML;450MG/100ML,DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE,,,
18008,2,"DEXTROSE 5%, SODIUM CHLORIDE 0.45% AND POTASSIUM CHLORIDE 5MEQ IN PLASTIC CONTAINER",N018008,Discontinued,BAXTER HLTHCARE,INJECTABLE (INJECTION),5GM/100ML;75MG/100ML;450MG/100ML,DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE,,,
18008,3,"DEXTROSE 5%, SODIUM CHLORIDE 0.45% AND POTASSIUM CHLORIDE 15MEQ IN PLASTIC CONTAINER",N018008,Discontinued,BAXTER HLTHCARE,INJECTABLE (INJECTION),5GM/100ML;224MG/100ML;450MG/100ML,DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE,,,
18008,4,POTASSIUM CHLORIDE 5MEQ IN DEXTROSE 5% AND SODIUM CHLORIDE 0.45% IN PLASTIC CONTAINER,N018008,Prescription,BAXTER HLTHCARE,INJECTABLE (INJECTION),5GM/100ML;150MG/100ML;450MG/100ML,DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE,,,
18008,5,POTASSIUM CHLORIDE 10MEQ IN DEXTROSE 5% AND SODIUM CHLORIDE 0.45% IN PLASTIC CONTAINER,N018008,Prescription,BAXTER HLTHCARE,INJECTABLE (INJECTION),5GM/100ML;75MG/100ML;450MG/100ML,DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE,,,
18008,6,POTASSIUM CHLORIDE 10MEQ IN DEXTROSE 5% AND SODIUM CHLORIDE 0.45% IN PLASTIC CONTAINER,N018008,Prescription,BAXTER HLTHCARE,INJECTABLE (INJECTION),5GM/100ML;150MG/100ML;450MG/100ML,DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE,,,
18008,7,POTASSIUM CHLORIDE 20MEQ IN DEXTROSE 5% AND SODIUM CHLORIDE 0.45% IN PLASTIC CONTAINER,N018008,Prescription,BAXTER HLTHCARE,INJECTABLE (INJECTION),5GM/100ML;150MG/100ML;450MG/100ML,DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE,,,
18008,8,POTASSIUM CHLORIDE 30MEQ IN DEXTROSE 5% AND SODIUM CHLORIDE 0.45% IN PLASTIC CONTAINER,N018008,Prescription,BAXTER HLTHCARE,INJECTABLE (INJECTION),5GM/100ML;224MG/100ML;450MG/100ML,DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE,,,
18008,9,POTASSIUM CHLORIDE 40MEQ IN DEXTROSE 5% AND SODIUM CHLORIDE 0.45% IN PLASTIC CONTAINER,N018008,Prescription,BAXTER HLTHCARE,INJECTABLE (INJECTION),5GM/100ML;300MG/100ML;450MG/100ML,DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE,,,
18008,10,"DEXTROSE 5%, SODIUM CHLORIDE 0.45% AND POTASSIUM CHLORIDE 20MEQ (K) IN PLASTIC CONTAINER",N018008,Prescription,BAXTER HLTHCARE,INJECTABLE (INJECTION),5GM/100ML;300MG/100ML;450MG/100ML,DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE,,,
18045,1,EMCYT,N018045,Prescription,PHARMACIA AND UPJOHN,CAPSULE (ORAL),EQ 140MG PHOSPHATE,ESTRAMUSTINE PHOSPHATE SODIUM,,,
18074,1,PHENDIMETRAZINE TARTRATE,N018074,Prescription,VIRTUS PHARMS,"CAPSULE, EXTENDED RELEASE (ORAL)",105MG,PHENDIMETRAZINE TARTRATE,,,
18279,1,K-TAB,N018279,Prescription,ABBVIE,"TABLET, EXTENDED RELEASE (ORAL)",10MEQ,POTASSIUM CHLORIDE,,,
18279,2,K-TAB,N018279,Prescription,ABBVIE,"TABLET, EXTENDED RELEASE (ORAL)",8MEQ,POTASSIUM CHLORIDE,,,
18279,3,K-TAB,N018279,Prescription,ABBVIE,"TABLET, EXTENDED RELEASE (ORAL)",20MEQ,POTASSIUM CHLORIDE,,,
18365,1,POTASSIUM CHLORIDE 20MEQ IN DEXTROSE 5% AND SODIUM CHLORIDE 0.225% IN PLASTIC CONTAINER,N018365,Prescription,ICU MEDICAL INC,INJECTABLE (INJECTION),5GM/100ML;149MG/100ML;225MG/100ML,DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE,,,
18365,2,POTASSIUM CHLORIDE 10MEQ IN DEXTROSE 5% AND SODIUM CHLORIDE 0.225% IN PLASTIC CONTAINER,N018365,Discontinued,ICU MEDICAL INC,INJECTABLE (INJECTION),5GM/100ML;74.5MG/100ML;225MG/100ML **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**,DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE,,,
18365,3,POTASSIUM CHLORIDE 30MEQ IN DEXTROSE 5% AND SODIUM CHLORIDE 0.225% IN PLASTIC CONTAINER,N018365,Discontinued,ICU MEDICAL INC,INJECTABLE (INJECTION),5GM/100ML;224MG/100ML;225MG/100ML **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**,DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE,,,
18365,4,POTASSIUM CHLORIDE 40MEQ IN DEXTROSE 5% AND SODIUM CHLORIDE 0.225% IN PLASTIC CONTAINER,N018365,Discontinued,ICU MEDICAL INC,INJECTABLE (INJECTION),5GM/100ML;298MG/100ML;225MG/100ML **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**,DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE,,,
18365,5,POTASSIUM CHLORIDE 5MEQ IN DEXTROSE 5% AND SODIUM CHLORIDE 0.225% IN PLASTIC CONTAINER,N018365,Discontinued,ICU MEDICAL INC,INJECTABLE (INJECTION),5GM/100ML;74.5MG/100ML;225MG/100ML **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**,DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE,,,
18365,6,POTASSIUM CHLORIDE 10MEQ IN DEXTROSE 5% AND SODIUM CHLORIDE 0.225% IN PLASTIC CONTAINER,N018365,Discontinued,ICU MEDICAL INC,INJECTABLE (INJECTION),5GM/100ML;149MG/100ML;225MG/100ML **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**,DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE,,,
